name,category,price,color,sizes,details,style,about,picture,web
Giuseppe Zanotti,85mm Formal Booties,"$1,150.00",Maskenada Euphoria,"['36', '37', '37.5', '38', '39']","['Leather: Calfskin', 'Snake-embossed leather', 'Stiletto heel', 'Zip at side', 'Pointed toe', 'Leather sole', 'Made in Italy', 'This item cannot be gift-boxed']",GIUSZ40606,"Born in an Italian town with a long tradition in shoemaking, Giuseppe Zanotti worked as a footwear designer for various luxury companies before launching his own line in 1994. Inspired by a ""repertory of ideas and images taken from music, from art, the cinema... everything which reflects changing fashions,"" Zanotti's shoes epitomize the synthesis of creative design and impeccable Italian craftsmanship. A celebrity favorite, Zanotti's shoes have received editorial coverage in numerous fashion publications.",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/giusz/giusz40606169a3/giusz40606169a3_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//formal-bootie-giuseppe-zanotti/vp/v=1/1505012932.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=169A3
Stella Luna,85mm Heel Pumps,$335.00,Red,"['35', '35.5', '36', '36.5', '37', '37.5', '38', '38.5', '39', '40', '41']","['Leather: Kidskin suede', 'Lightly padded footbed', 'Gold-tone stiletto heel with suede accent', 'Pointed toe', 'Leather sole', 'Imported, China', 'This item cannot be gift-boxed']",SLUNA30048,"A romantic night under the moon and stars is even better when you're in a sleek, red-carpet-ready pair of Stella Luna shoes. (Sounds almost too perfect, we know.) Driven by the vision of creative director Capucine Safyurtlu, the label's special occasion pairs are crafted with premium Italian craftsmanship and a distinctly French je ne sais quoi. With the multifaceted life of the contemporary woman in mind, Safyurtlu dreams up collections that make room for the classic, the futuristic, and the full-on glamorous?”which means that it?™s always worth making room in your closet for a pair or two of Stella Luna heels or sandals. (Always.)",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sluna/sluna30048102d9/sluna30048102d9_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//85mm-heel-pump-stella-luna/vp/v=1/1512882787.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=102D9
Aquazzura,85mm Hydra Mules,$347.50,Silver,"['35.5', '39']","['Leather: Calfskin', 'Smooth metallic leather', 'Crisscross straps', 'Mules', 'Stiletto heel', 'Open toe', 'Leather sole', 'Made in Italy', 'This item cannot be gift-boxed']",AQUDB30662,"Columbian-born designer Edgardo Osorio?™s luxe aesthetic and eye for detail have come to life in the Aquazzura footwear collection. After studying at the London College of Fashion and Central Saint Martins, Osorio made his way into the world of fashion footwear with stints at luxury labels such as Roberto Cavalli and Salvatore Ferragamo. Today, Osorio?™s passion for classic silhouettes and modern sophistication shows in every pair of Aquazzura shoes.                            See all  Aquazzura reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/aqudb/aqudb3066212208/aqudb3066212208_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//hydra-mule-aquazzura/vp/v=1/1501766895.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=12208
Malone Souliers,85mm Maureen Mules,$595.00,Garnet/Garnet,"['35', '35.5', '36', '36.5', '37', '37.5', '38', '38.5', '39', '39.5', '40', '41']","['Leather: Sheepskin', 'Smooth leather with curvy topline', 'Patent cowhide straps with elastic insets', 'Stiletto heel', 'Pointed toe', 'Leather sole', 'Made in Italy', 'This item cannot be gift-boxed']",MSOUL30277,"Malone Souliers is a bold and unapologetically feminine British footwear brand. Founder Mary Alice Malone channeled her shoemaking talents through a unique path of furniture design, welding, carpentry, and upholstery. This led her talent to Cordwainers at the London College of Fashion and a number of European ateliers. Ultimately, her pursuit met an apex with the launch of Malone Souliers in 2015. Malone Souliers shoes are the culmination of the team?™s nonstop commitment to the ever-evolving art of luxury shoemaking.                            See all  Malone Souliers reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/msoul/msoul3027772676/msoul3027772676_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//maureen-mule-malone-souliers/vp/v=1/1597552890.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=72676
Aquazzura,85mm Milano Boots,"$1,195.00",Cinnamon,"['35', '35.5', '36', '36.5', '37.5']","['Leather: Goatskin', 'Suede with adjustable tie at ankle', 'Knee-high silhouette with block heel', 'Pointed toe', 'Rubber heel patch at leather sole', 'Made in Italy', 'This item cannot be gift-boxed']",AQUDB30722,"Columbian-born designer Edgardo Osorio?™s luxe aesthetic and eye for detail have come to life in the Aquazzura footwear collection. After studying at the London College of Fashion and Central Saint Martins, Osorio made his way into the world of fashion footwear with stints at luxury labels such as Roberto Cavalli and Salvatore Ferragamo. Today, Osorio?™s passion for classic silhouettes and modern sophistication shows in every pair of Aquazzura shoes.                            See all  Aquazzura reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/aqudb/aqudb3072212832/aqudb3072212832_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//milano-boot-aquazzura/vp/v=1/1554238052.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=12832
Sophia Webster,85mm Rosalind Crystal Sandals,$495.00,Champagne Glitter,"['35.5', '36', '36.5', '37', '37.5', '38', '38.5', '39', '39.5', '41']","['Fabric: Weave', 'Glitter finish', 'Crystal encrusted heel', 'Strappy silhouette', 'Stiletto heel', 'Buckle at ankle', 'Open toe', 'Leather sole', 'Imported, Brazil', 'This item cannot be gift-boxed']",SWEBS30017,Coming Soon,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/swebs/swebs3001734161/swebs3001734161_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//rosalind-crystal-85mm-sandal-sophia/vp/v=1/1543258266.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=34161
Diane von Furstenberg,90mm Chainlink Sandals,$278.00,Silver,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10']","['Leather: Cowhide', 'Metallic pebbled leather', 'Lightly padded footbed', 'Sculpted chunky heel', 'Snap clasp closure with elastic inset', 'Open toe', 'Rubber heel patch at leather sole', 'Imported, China', 'This item cannot be gift-boxed']",DIAVF45660,"Fashion veteran Diane von Furstenberg arrived fresh on the NYC fashion scene in 1970, armed with a friendship with Vogue editor Diana Vreeland and 12 shirtdresses she'd made in Italy. By 1976, von Furstenberg had already gained renown in the fashion sphere with the invention of her iconic wrap dress. With vintage-inspired prints and feminine silhouettes, every DVF design is built to flatter the woman who wears it: a philosophy that has become von Furstenberg's legacy and her gift to the women of the world.                            See all  Diane von Furstenberg reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/diavf/diavf4566012208/diavf4566012208_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//chainlink-sandal-diane-von-furstenberg/vp/v=1/1557600421.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=12208
See by Chloe,90mm Neo Janis High Heel Boots,$495.00,Cuoio,"['35', '35.5', '36', '36.5', '37', '37.5', '38', '38.5', '39', '39.5', '40', '41']","['Leather: Calfskin', 'Smooth leather', 'Dome stud accents', 'Heel pull tab', 'Chunky heel', 'Buckle at ankle', 'Rounded toe', 'Rubber heel patch at leather sole', 'Imported, China', 'This item cannot be gift-boxed']",SEECL42111,"Originally launched as a denim line in 2001, See by ChloÃ© was a response to the success of denim and jersey pieces in the ChloÃ© collection. Since its inception, See by ChloÃ© has grown into a diverse and complete ready-to-wear line that has found favor with the most discerning fashionista.                            See all  See by Chloe reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/seecl/seecl4211110569/seecl4211110569_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//neo-janis-high-heel-boot/vp/v=1/1557754597.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=10569
Aquazzura,95mm Mondaine Slingback Pumps,$775.00,Black/Beige,"['35', '35.5', '37', '37.5', '38', '38.5', '39', '41']","['Fabric: Grosgrain', 'Contrast toe', 'Knot accents', 'Sling-back strap', 'Stiletto heel', 'Buckle at ankle', 'Pointed toe', 'Leather sole', 'Made in Italy', 'This item cannot be gift-boxed']",AQUDB30687,"Columbian-born designer Edgardo Osorio?™s luxe aesthetic and eye for detail have come to life in the Aquazzura footwear collection. After studying at the London College of Fashion and Central Saint Martins, Osorio made his way into the world of fashion footwear with stints at luxury labels such as Roberto Cavalli and Salvatore Ferragamo. Today, Osorio?™s passion for classic silhouettes and modern sophistication shows in every pair of Aquazzura shoes.                            See all  Aquazzura reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/aqudb/aqudb3068719264/aqudb3068719264_q1_2-1._UX357_QL90_.jpg,https://www.shopbop.com//mondaine-sling-aquazzura/vp/v=1/1533960952.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=19264
Alexander Wang,A1 Hiker Sneakers,$550.00,Black/White/Red,"['35', '35.5', '36', '36.5', '37', '37.5', '38', '38.5', '39', '39.5', '40', '41']","['Leather: Calfskin', 'Padded tongue and collar', 'Contrast laces', 'Pull tab', 'Logo patch', 'High top hiking shoes', 'Platform profile', 'Lace-up at top', 'Rounded toe', 'Rubber sole', 'Made in Italy', 'This item cannot be gift-boxed']",AWANG43266,"At 18, fashion wunderkind Alexander Wang moved to NY to attend Parsons School of Design, and by sophomore year he was already designing his label's first collection. Though predominantly pure in aesthetic, the line incorporates elements of street fashion and the imperfect, a look that won Wang the Vogue/CFDA Fashion Fund Award in 2008.                            See all  Alexander Wang reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/awang/awang43266125c2/awang43266125c2_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//hiker-sneaker-alexander-wang/vp/v=1/1501253112.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=125C2
Alexander Wang,A1 Slides,$158.00,Black,"['39.5', '40']","['Leather: Lambskin', 'Slide sandals', 'Platform profile', 'Open toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",AWANG43051,"At 18, fashion wunderkind Alexander Wang moved to NY to attend Parsons School of Design, and by sophomore year he was already designing his label's first collection. Though predominantly pure in aesthetic, the line incorporates elements of street fashion and the imperfect, a look that won Wang the Vogue/CFDA Fashion Fund Award in 2008.                            See all  Alexander Wang reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/awang/awang430511071c/awang430511071c_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//slide-alexander-wang/vp/v=1/1515093980.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=1071C
Sophia Webster,Aaliyah Sandals,$595.00,Gold,"['35', '35.5', '36', '36.5', '37', '37.5', '38', '38.5', '39', '39.5', '40', '41']","['Fabric: Satin', 'Mirrored leather', 'Crystal embellishments', 'Stiletto heel', 'Buckle at ankle', 'Open toe', 'Leather sole', 'Imported, Brazil', 'This item cannot be gift-boxed']",SWEBS30001,Coming Soon,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/swebs/swebs3000111739/swebs3000111739_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//aaliyah-sandal-sophia-webster/vp/v=1/1584362640.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=11739
Badgley Mischka,Abby Ankle Strap Flats,$225.00,Nude,"['5.5', '6', '9.5', '11']","['Fabric: Satin', 'Ankle strap with elastic inset', 'Padded metallic footbed', 'Crystal accents', 'Zip closure at back', 'Pointed toe', 'Rubber heel patch at leather sole', 'Imported, China', 'This item cannot be gift-boxed']",BADGM20305,"Hailed by Vogue as one of the Top 10 American Designers, Badgley Mischka has been making its mark with glamorous, stylish, and wearable eveningwear and accessories since 1988. Design duo Mark Badgley and James Mischka met while studying at Parsons, where they discovered they shared a similar aesthetic.  Badgley Mischka?™s timeless designs appeal to a range of fashionable women, and the brand counts Madonna, Sarah Jessica Parker, and Taylor Swift among its celebrity fans.",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/badgm/badgm2030511231/badgm2030511231_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//abby-ankle-strap-flats-badgley/vp/v=1/1569538320.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=11231
Yuul Yie,Abel Flats,$140.00,Hot Pink,"['35', '41']","['Leather: Goatskin', 'Bow accent', 'Slim straps', 'Mules', 'Flat profile', 'Pointed toe', 'Rubber sole', 'Imported, Korea', 'This item cannot be gift-boxed']",YUULY30011,"Already a social media sensation (and we definitely see why), Korean footwear line Yuul Yie delivers the perfect balance between glamour and wearability. The label's sleek pumps come finished with chunky low heels and sculptural silhouettes that (bonus!) you can actually walk in. Crafted in luxe Italian leather, every pair of Yuul Yie pumps?”from slingbacks to sandals?”is a unique blend of eclectic, of-the-moment details and fully functional style. A little bit offbeat and a little bit runway, Yuul Yie shoes will have you feeling ready to take on even the most mundane of Mondays.",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/yuuly/yuuly3001111411/yuuly3001111411_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//abel-flats-yuul-yie/vp/v=1/1540631484.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=11411
Sam Edelman,Abella Booties,$160.00,Black,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Leather: Kidskin suede', 'Logo hardware at heel', 'Side elastic gores', 'Chunky heel', 'Rounded toe', 'Man-made sole', 'Imported, China', 'This item cannot be gift-boxed']",SAMED41790,Longtime shoe-industry favorite Sam Edelman has been the modern woman?™s go-to brand for iconic gladiators and chic flats since its inception in 2004. The brand?™s eponymous founder helped launch the Candies and Esprit shoe brands into the fashion canon early on. Edelman?™s impeccable eye for fashion and footwear led to the Sam Edelman brand?™s success as a producer of signature silhouettes and an ever-stylish aesthetic.                            See all  Sam Edelman reviews,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/samed/samed417901071c/samed417901071c_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//abella-bootie-sam-edelman/vp/v=1/1502263487.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=1071C
Dolce Vita,Abie Western Booties,$202.00,Black,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10']","['Leather: Calfskin', 'Croc-emboosed leather', 'Pull-on style with elastic goring on sides', 'Metal-tipped toe', 'Boots', 'Chunky heel', 'Man-made sole', 'Imported, China', 'This item cannot be gift-boxed']",DOLCE41131,"Every pair of Dolce Vita shoes embodies the meaning of the brand?™s name: ?œthe good life.??Van Lamprou and Nick Lucio launched Dolce Vita in 2001 with the young, the restless, and the glamorous as their muse. In 2014, Dolce Vita was acquired by Steve Madden, which has preserved the label?™s go-to appeal for the fun, modern girl.                            See all  Dolce Vita reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/dolce/dolce411311071c/dolce411311071c_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//abie-western-booties-dolce-vita/vp/v=1/1569163808.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=1071C
MICHAEL Michael Kors,Abott Mid Wedge Sandals,$58.00,Acorn,"['9', '9.5']","['Fabric: Smooth leather', 'Leather: Cowhide', 'Crisscross strap', 'Strappy silhouette', 'Wedge heel', 'Platform profile', 'Buckle at ankle', 'Open toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",MMKOR21408,"Already a legend in American sportswear, Michael Kors launched diffusion label MICHAEL Michael Kors in 2004. A collection of stylish yet affordable ready-to-wear, swimwear, and accessories, MICHAEL Michael Kors reinforces the brand?™s core philosophy: ?œpowerful, confident urban dressing for modern times.??                           See all  MICHAEL Michael Kors reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mmkor/mmkor2140814806/mmkor2140814806_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//abott-mid-wedge-sandals-michael/vp/v=1/1510900628.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=14806
Ash,Access Bis Slide Sandals,$126.00,Black/Red,"['39', '40', '41']","['Fabric: Mesh', 'Contrast trim', 'Rubber logo patch', 'Slide sandals', 'Platform profile', 'Velcro at front', 'Open toe', 'Imported, China', 'This item cannot be gift-boxed']",ASHUS41161,"Established in Europe in 2000, designer Patrick Ithier's Ash is sophisticated and chic. Always keeping with classic, European design, Ash flirts with the boundary between refined elegance and on-trend precision. Well-designed and well-made, Ash shoes are like a Chanel suit: they'll remain a wardrobe staple for years.                            See all  Ash reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ashus/ashus4116112642/ashus4116112642_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//access-bis-slide-ash/vp/v=1/1520272751.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=12642
Rebecca Minkoff,Aceline  Mules,$96.60,White,"['5', '7', '11']","['Leather: Sheepskin', 'Silver-tone metal ring at heel', 'Chunky heel', 'Open toe', 'Man-made sole', 'Imported, China', 'This item cannot be gift-boxed']",RMINK47741,"After discovering a passion for design while working in the costume department during high school, Rebecca Minkoff moved to New York at 18 to pursue her dream of becoming a designer. Minkoff reworked the iconic ?˜I Love New York??tee as part of a 2001 capsule collection, and the piece set her career in motion. She launched her namesake label that same year and released her first handbag silhouette, the ?˜Morning After Bag??(MAB), in 2005. Rebecca Minkoff returned to her design roots in 2009, adding apparel to the lifestyle label, and in 2010, expanded the brand to include Rebecca Minkoff footwear.                            See all  Rebecca Minkoff reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/rmink/rmink4774112397/rmink4774112397_q4_2-0._UX357_QL90_.jpg,https://www.shopbop.com//aceline-mule-rebecca-minkoff/vp/v=1/1511945399.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=12397
Rebecca Minkoff,Aceline Mules,$96.60,Rosewood,"['6', '6.5', '7', '8', '8.5', '9', '9.5', '10', '11']","['Leather: Sheepskin', 'Silver-tone metal ring at heel', 'Chunky heel', 'Open toe', 'Man-made sole', 'Imported, China', 'This item cannot be gift-boxed']",RMINK47742,"After discovering a passion for design while working in the costume department during high school, Rebecca Minkoff moved to New York at 18 to pursue her dream of becoming a designer. Minkoff reworked the iconic ?˜I Love New York??tee as part of a 2001 capsule collection, and the piece set her career in motion. She launched her namesake label that same year and released her first handbag silhouette, the ?˜Morning After Bag??(MAB), in 2005. Rebecca Minkoff returned to her design roots in 2009, adding apparel to the lifestyle label, and in 2010, expanded the brand to include Rebecca Minkoff footwear.                            See all  Rebecca Minkoff reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/rmink/rmink4774213150/rmink4774213150_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//aceline-mule-rebecca-minkoff/vp/v=1/1500993120.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=13150
Jeffrey Campbell,Achira Square Toe Flats,$40.00,White,"['5', '9', '9.5', '10', '11']","['Leather: Cowhide', 'Bow accent', 'Flat metal studs at toe', 'Padded footbed', 'Pigskin lining', 'Ballet flats', 'Flat profile', 'Square toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",JEFFC40939,"Jeffrey Campbell shoes are more than just footwear?”they?™re a reaction to the world around us. The independent LA-based brand is as inspired by the emotional sphere as much as the artistic one, and that?™s where every pair of Jeffrey Campbell booties, sandals, and platforms begins. By embracing and reflecting back the beauty of diversity, whether in body type, age, ethnicity, or gender, Jeffrey Campbell aims to bring out the bold in you (and we can?™t wait to see it).                            See all  Jeffrey Campbell reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/jeffc/jeffc4093912397/jeffc4093912397_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//achira-square-toe-flats-jeffrey/vp/v=1/1542124403.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=12397
Sam Edelman,Ackley Loafers,$150.00,Cognac,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10']","['Leather: Soft, burnished calfskin', 'Welt stitching and vamp penny slot', 'Cushioned footbed', 'Suede sock lining', 'Rounded moc toe', 'Rubber sole', 'Imported, India', 'This item cannot be gift-boxed']",SAMED41779,Longtime shoe-industry favorite Sam Edelman has been the modern woman?™s go-to brand for iconic gladiators and chic flats since its inception in 2004. The brand?™s eponymous founder helped launch the Candies and Esprit shoe brands into the fashion canon early on. Edelman?™s impeccable eye for fashion and footwear led to the Sam Edelman brand?™s success as a producer of signature silhouettes and an ever-stylish aesthetic.                            See all  Sam Edelman reviews,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/samed/samed4177913711/samed4177913711_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//ackley-loafer-sam-edelman/vp/v=1/1504108003.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=13711
K. Jacques,Actium Toe Ring Sandals,$194.60,Pul Blanc,"['35', '36', '37', '38', '39', '40', '41']","['Leather: Cowhide', 'Asymmetrical straps', 'Slide sandals', 'Flat profile', 'Open toe', 'Leather sole', 'Made in France', 'This item cannot be gift-boxed']",KJAQU40222,"Created in 1933 by Mr. and Mrs. Keklikian Jacques, K. Jacques is authentic St. Tropez fashion. Still a family business today, the brand has three stores in St. Tropez and a boutique in the very chic Marais quarter of Paris. The brand was a hit early on with celebrities, and it continues that tradition today. Who wouldn't want to wear a little taste of the Riviera?                            See all  K. Jacques reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/kjaqu/kjaqu4022257092/kjaqu4022257092_q4_2-0._UX357_QL90_.jpg,https://www.shopbop.com//actium-toe-ring-sandal-k/vp/v=1/1532733541.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=57092
Rachel Comey,Adams Sandals,$435.00,Navy,['8'],"['Leather: Cowhide', 'Croc embossed leather', 'Silver-tone hardware', 'Stitched welt', 'Strappy silhouette', 'Chunky heel', 'Platform profile', 'Buckle at ankle', 'Open toe', 'Rubber sole', 'Imported, Peru', 'This item cannot be gift-boxed']",RACHC20971,"After New York-based designer Rachel Comey?™s namesake brand launched in 2001, she gained a name in the contemporary apparel scene for her ability to incorporate new prints, update silhouettes, and utilize thoughtful materials. The move to expand into handbags is a natural extension of that same offbeat charm and quiet humor. Rachel Comey bags come in a range of designs and functional silhouettes with unique, fresh detailing for an updated take on classic, versatile accessories.                            See all  Rachel Comey reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/rachc/rachc20971124bd/rachc20971124bd_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//adams-sandal-rachel-comey/vp/v=1/1555043143.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=124BD
Ash,Addict Bis Sneakers,$275.00,Lavender/Dragon Lavender,"['36', '37', '38', '39', '40', '41']","['Fabric: Mesh', 'Leather: Calfskin', 'Multi-layered soles', 'Star detail at sides', 'Athletic style', 'Lace-up at top', 'Rounded toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",ASHUS41136,"Established in Europe in 2000, designer Patrick Ithier's Ash is sophisticated and chic. Always keeping with classic, European design, Ash flirts with the boundary between refined elegance and on-trend precision. Well-designed and well-made, Ash shoes are like a Chanel suit: they'll remain a wardrobe staple for years.                            See all  Ash reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ashus/ashus4113613b12/ashus4113613b12_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//addict-bis-sneaker-ash/vp/v=1/1597893636.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=13B12
Ash,Addict Sneakers,$275.00,White/Dragon White/White/Pink/,"['36', '37', '38', '39', '40', '41']","['Fabric: Mesh', 'Leather: Calfskin', 'Multi-layered soles', 'Star detail at sides', 'Chunky style', 'Lace-up', 'Rounded toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",ASHUS41137,"Established in Europe in 2000, designer Patrick Ithier's Ash is sophisticated and chic. Always keeping with classic, European design, Ash flirts with the boundary between refined elegance and on-trend precision. Well-designed and well-made, Ash shoes are like a Chanel suit: they'll remain a wardrobe staple for years.                            See all  Ash reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ashus/ashus4113713b13/ashus4113713b13_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//addict-sneaker-ash/vp/v=1/1586763194.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=13B13
Ash,Addict Trainers,$275.00,White,"['35', '36', '37', '38', '39', '40', '41']","['Fabric: Mesh', 'Leather: Calfskin', 'Chunky style', 'Multi-layer soles', 'Star-shaped details', 'Suede accents', 'Jogger sneakers', 'Flat profile', 'Platform profile', 'Rounded toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",ASHUS41057,"Established in Europe in 2000, designer Patrick Ithier's Ash is sophisticated and chic. Always keeping with classic, European design, Ash flirts with the boundary between refined elegance and on-trend precision. Well-designed and well-made, Ash shoes are like a Chanel suit: they'll remain a wardrobe staple for years.                            See all  Ash reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ashus/ashus41057102ca/ashus41057102ca_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//addict-trainers-ash/vp/v=1/1530945031.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=102CA
adidas by Stella McCartney,Adissage Slides,$60.00,Core Black/White,['5'],"['Fabric: Rubber', 'Logo accent', 'Massaging footbed', 'Slide sandals', 'Flat profile', 'Open toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",ASTEL31337,"In 2005 Stella McCartney and adidas teamed up to transform activewear through great design, playful prints, and a contagious sense of energy. Stella McCartney translates her signature tailoring and soft femininity into sleek high-performance fabrics and functional details, creating pieces that work hard and hold their own on a jog down a city street. From tennis dresses to yoga tops, running gear to ski pants, adidas by Stella McCartney brings inspiration to an oft-neglected corner of a woman?™s closet.                            See all  adidas by Stella McCartney reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/astel/astel3133764888/astel3133764888_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//adissage-slide-adidas-by-stella/vp/v=1/1562310389.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=64888
Schutz,Adiva Ankle Strap Sandals,$190.00,Black,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10']","['Leather: Cowhide', 'Suede', 'Strappy silhouette', 'Stiletto heel', 'Buckle at ankle', 'Open toe', 'Leather sole', 'Imported, Brazil', 'This item cannot be gift-boxed']",SCHUT30929,"Luxury women?™s footwear company Schutz was founded in the summer of 1995 and is based in Campo Bom, Brazil. Schutz's mission is to offer an unforgettable experience through impeccable design and superior quality. The designers behind SCHUTZ shoes follow the brand?™s philosophy of ?œLiving for Pleasure??by creating innovative footwear styles, from strappy sandals to cozy booties that encourage freedom of expression in any season.                            See all  Schutz reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/schut/schut309291071c/schut309291071c_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//adiva-ankle-strap-sandals-schutz/vp/v=1/1582495809.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=1071C
